name,exam score,hw score,min score,grade
Ping Milledge,56.666668,49.857143,49.857143,F
Elisa Oltz,81.000000,96.857140,81.000000,B
Leonard Havers,73.000000,74.000000,73.000000,C
Setsuko Lovera,87.333336,83.142860,83.142860,B
Franklyn Degnim,59.333332,56.714287,56.714287,F
Gwyneth Marsico,77.000000,65.714287,65.714287,D
Abigail Greep,87.000000,82.714287,82.714287,B
Majorie Granvold,92.666664,94.428574,92.666664,A
Daphine Polaco,77.333336,75.000000,75.000000,C
An Corvera,50.666668,54.857143,50.666668,F
Ayanna Pensiero,54.000000,54.000000,54.000000,F
Era Deming,93.000000,74.857140,74.857140,C
Michal Slentz,79.666664,79.428574,79.428574,C
Corie Brazen,83.666664,88.000000,83.666664,B
Dona Tufte,62.333332,69.142860,62.333332,D
Juan Rohdenburg,89.000000,94.000000,89.000000,B
Orville Samit,70.333336,78.428574,70.333336,C
Ricky Knoechel,97.666664,92.428574,92.428574,A
Blythe Threet,47.000000,56.428570,47.000000,F
Sammie Wachs,50.333332,60.428570,50.333332,F
Estelle Veazey,76.000000,92.571426,76.000000,C
Agatha Keckler,94.000000,93.000000,93.000000,A
Novella Oros,87.000000,86.285713,86.285713,B
Tanya Quinlisk,65.333336,58.857143,58.857143,F
Marion Coltrin,63.333332,55.571430,55.571430,F
Helene Karow,91.666664,93.714287,91.666664,A
Shonta Bourek,95.333336,93.285713,93.285713,A
Hyon Anglemyer,66.666664,52.714287,52.714287,F
Ervin Kenison,61.666668,62.428570,61.666668,D
Renato Urch,66.333336,66.714287,66.333336,D
Mikel Burleigh,92.666664,85.571426,85.571426,B
Val Royal,93.333336,93.857140,93.333336,A
Jodie Adolfo,76.666664,79.285713,76.666664,C
Roselee Lienhard,67.000000,74.285713,67.000000,D
Austin Holznecht,68.000000,63.285713,63.285713,D
Emelia Toney,79.666664,88.428574,79.666664,C
Lucy Rhodd,87.333336,89.571426,87.333336,B
Sacha Chee,79.666664,74.571426,74.571426,C
Julio Lackner,65.000000,75.714287,65.000000,D
Salvador Gretzner,76.000000,71.714287,71.714287,C
